title,price,published,acreage,address,latitude,longitude
"Cho thuê phòng tại hẻm 184 Đặng Văn Ngữ, P.14, Q.Phú Nhuận, giá 2,5tr/tháng. LH: Mr Dũng",2.5,13/06/2019,13.0,"184/4 Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.7911026,106.6667985
"(Ảnh thật) Phòng cho thuê Đặng Văn Ngữ, Phú Nhuận",3.5,03/12/2019,14.0,"Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.7928047,106.6682924
"PHÒNG CAO CẤP FULL NỘI THẤT, MỚI XÂY, BAN CÔNG, NHIỀU CỬA SỔ, SÀN GỖ ĐẸP QUẬN PHÚ NHUẬN",7.0,04/12/2019,35.0,"172/35 Đường Đặng Văn Ngữ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.792006,106.666967
"Còn 1 phòng duy nhất đầy đủ nội thất như khách sạn tại 533/79 Huỳnh Văn Bánh, Phú Nhuận",5.1,18/11/2019,16.0,"533/79 Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.790955,106.6677988
"Cho thuê phòng trọ 30m2, phòng mới sạch đẹp, Phú Nhuận",3.5,08/10/2019,30.0,"529/136 Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.789755,106.667171
PHÒNG FULL NỘI THẤT 28M2 LÊ VĂN SỸ,4.7,18/08/2019,28.0,"339/21 Đường Lê Văn Sỹ, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.7870699,106.6772824
"Cho Nữ thuê phòng đẹp có ban công, Phú Nhuận",5.0,24/12/2019,25.0,"452/8 Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.792199,106.669245
"Cho thuê phòng trọ Phú Nhuận đầy đủ nội thất, sạch đẹp, an ninh, giờ tự do",5.0,06/08/2019,30.0,"Đường Huỳnh Văn Bánh, Phường 14, Quận Phú Nhuận, Hồ Chí Minh",10.7916291,106.669605
CHO THUÊ PHÒNG SV NỮ Ở GHÉP Q.4- 3TR/THÁNG,3.0,23/08/2016,45.0,"58/24/5 Tôn Thất Thuyết, Phường 18, Quận 4, Hồ Chí Minh",10.753396,106.714325
Cho Thuê Phòng trọ đẹp giá rẻ bao điện nước internet hẻm an ninh. Có chỗ để xe,1.5,20/04/2018,15.0,"671/7 Đường Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh",10.7581565,106.7148054
"CHO SINH VIÊN THUÊ PHÒNG QUẬN 4, GẦN CÁC TRƯỜNG ĐẠI HỌC LUẬT, TÀI CHÍNH MARKETING, NGUYỄN TẤT THÀNH, TÔN ĐỨC THẮNG",3.5,16/02/2016,25.0,"09 Tôn Thất Thuyết, P.18, Quận 4, TP.HCM",10.753604987000074,106.71702771300005
"Cho thuê Phòng Trọ Cao Cấp hẻm 58 Tôn Thất Thuyết, Quận 4",3.5,19/03/2017,30.0,"874/14/17 Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh",10.756047419000026,106.71581238200008
Nhà mới phòng mới đẹp sach sẽ đầy đủ tiện nghi,3.0,25/01/2017,20.0,"Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh",10.756696096000042,106.71663184500005
"Phòng trọ quận 4, gần quận 1,3,7. Trường ĐH Nguyễn Tất Thành, nhiều xe bus đến Bến Thành",2.0,26/10/2016,12.0,"878, Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh",10.75646359700005,106.71603271200007
"CHO THUÊ PHÒNG TRỌ MỚI XÂ, GIỜ GIẤC TỰ DO, CÓ KHOA VÂN TAY AN NINH - Quận 4",3.5,22/03/2017,40.0,"Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh",10.756696096000042,106.71663184500005
"Phòng trọ cho nhân viên văn phòng, sinh viên, hộ gia đình",4.0,11/10/2017,35.0,"49 Đường Tôn Thất Thuyết, Phường 18, Quận 4, Hồ Chí Minh",10.75296768000004,106.69714825100004
Cần cho sinh viên nữ thuê phòng,3.0,12/06/2019,20.0,"Đường Nguyễn Thần Hiến, Phường 18, Quận 4, Hồ Chí Minh",10.755278739677706,106.71671221146369
CHO THUÊ PHÒNG SINH VIÊN – NỮ CÔNG NHÂN,2.0,02/11/2018,8.0,"Đường Nguyễn Tất Thành, Phường 18, Quận 4, Hồ Chí Minh",10.759189598000034,106.71382214200008
"Cho thuê phòng trọ Quận 4, 878 Đoàn Văn Bơ 34m2",2.1,22/11/2018,34.0,"Đường Đoàn Văn Bơ, Phường 18, Quận 4, Hồ Chí Minh",10.756606626000064,106.71663516000007
PHÒNG 25M2 MỚI XÂY 100% - CÓ GÁC LỬNG - FULL TIỆN NGHI ĐƯỜNG NGUYỄN TẤT THÀNH - 4 TRIỆU/THÁNG,4.0,04/01/2019,25.0,"Đường Nguyễn Tất Thành, Phường 18, Quận 4, Hồ Chí Minh",10.759189598000034,106.71382214200008
